Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giorno,Irritec - Torre Di Mezzo Societa' Agricola Srl Milk Production -> Sensore Suolo 27,,,,,,Irritec - Torre Di Mezzo Societa' Agricola Srl Milk Production -> Sensori meteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Um. suolo sup,,,Temp. suolo sup,,,Temp. Aria,,,Um. Aria,,,Pressione,,,P.to rugiada,,,B. fogliare sup,,,B. fogliare inf,,,Pioggia,Etp,ETPxKc,Radiazione solare,,,,,Vento,,
10/06/2025,"28,3","29,6","27,3",,,,"25,7","34,8","15,1","56,2",90,"29,3","1005,5","1007,6","1003,6","14,9","17,9","13,3",2,"89,5","1,7",3,"87,3","1,9",0,"5,8",0,"292,572","7021,72",12,"849,536","14,413","1,1","3,3","175,5"
11/06/2025,"25,7","27,3","24,3",,,,"25,5","34,7","16,7","60,3","89,1","35,3","1003,5","1004,6","1002,3","16,4","19,7","14,1",0,"24,3","2,5",0,"24,2","2,1",0,"4,8",0,"253,68","6088,324",10,"874,906","14,52","0,9","3,2","156,3"
12/06/2025,"25,5","33,2","22,6",,,,26,"35,2","16,2","55,7",90,"25,6","1004,4","1005,7","1003,5",15,19,"10,3",1,27,"1,7",1,"26,9","1,7",0,"5,8",0,"288,141","6915,374",12,"850,584","14,404","1,2","3,5","176,1"
13/06/2025,"23,8",25,23,,,,"26,3","35,5","15,2","52,7",90,"25,9","1006,3","1007,4","1005,2","14,3","18,3","11,7",1,"31,5",2,1,"28,3","1,8",0,"5,9",0,"292,652","7023,66",12,"855,633","14,35","1,1","3,2","196,3"
14/06/2025,"22,3",23,"21,7",,,,"26,3","36,3","15,5","54,8",90,"24,2",1007,"1008,1","1005,8","14,9",19,"11,3",2,"55,1","1,9",2,"33,2","1,8",0,"6,1",0,"296,902","7125,64",12,"870,931","14,413","1,2","4,3","179,6"
15/06/2025,"20,7","21,6","19,8",,,,"26,6","36,6","15,5","51,3",90,"19,7",1006,"1007,6","1004,3","13,4","19,1","8,7",6,"89,6","1,5",5,75,"1,7",0,"6,3",0,"301,34","7232,151",12,"866,724","14,35","1,2","3,8",199
16/06/2025,"28,4","51,2","18,9",,,,"24,7","36,9","17,4","69,9",90,"35,6","1004,9",1006,"1003,5","18,1","22,1","12,4",5,"89,9","2,2",5,"90,5","2,2","0,6","4,2",0,"220,579","5293,892",10,"822,967","14,493","1,1","4,9","238,3"
17/06/2025,24,"25,1",23,,,,"25,8","34,3",19,"66,6",90,"30,1","1004,8","1005,6","1003,9","18,1","20,6","13,5",4,"89,9","2,1",2,"90,3","2,5","0,4","5,6",0,"294,678","7072,275",12,"906,184","14,547","1,2",4,171
18/06/2025,"22,5","23,1","21,8",,,,"22,5","27,6","19,3","86,6",90,"66,1","1006,5","1007,8","1005,2","20,1",23,"17,6",14,"89,9","3,1",14,"90,5","3,3",0,"1,3",0,"96,884","2325,216",8,"681,187","14,538","0,7","2,4","213,2"
19/06/2025,"23,8","30,1","21,4",,,,"24,8","31,8","18,8","68,8",90,"41,1","1006,7","1008,3","1005,3",18,"21,7","12,2",6,"89,8","2,3",7,"90,4","2,2",0,"4,7",0,"251,794","6043,06",12,"967,818","14,565","1,4","3,7","181,9"
20/06/2025,"25,8","39,1","22,3",,,,"24,1","33,8",16,"65,7",90,"37,4","1005,2","1006,6","1003,5","16,5","19,9","13,1",1,88,2,0,"59,3","2,1",0,5,0,"271,932","6526,376",12,"934,508","14,431",1,"3,6","226,8"
21/06/2025,"23,3","24,2","22,6",,,,25,"33,9","16,6","62,8",90,"38,8",1006,"1007,9","1004,4","16,4",20,"13,6",3,"89,6",2,2,56,"1,9",0,"5,4",0,"280,122","6722,917",12,"899,82","14,457","1,2","3,8","182,3"
22/06/2025,"21,5","22,5","20,5",,,,25,"34,3","14,4","50,1",90,"20,5","1007,7",1009,"1006,6","11,7","16,9","7,2",1,"73,8","1,4",0,26,"1,6",0,"6,3",0,"308,65","7407,611",12,"881,423","14,332","1,3","3,4","181,3"
23/06/2025,"19,4","20,5","18,4",,,,"24,5",33,"14,5","53,9","85,9","32,1","1006,9","1008,5","1005,1","13,6","18,9","9,9",0,23,"1,7",0,"22,9","1,7",0,6,0,"309,78","7434,712",12,"887,224","14,323","1,2","3,4","188,4"
24/06/2025,"17,5","18,4","16,8",,,,"26,9","36,7","16,5","53,8","87,8","22,9","1004,7","1005,9","1003,7","15,1","19,5","11,2",1,"29,6","2,3",1,"29,4","1,9",0,"6,2",0,"296,907","7125,778",12,"901,843","14,448","1,2","3,4",194
25/06/2025,"21,4","45,2","16,1",,,,"27,9","36,7","18,4","55,2","88,5",28,"1004,5","1005,4","1003,5","16,5","20,9","14,3",0,"25,1","2,3",0,"24,5","1,8",0,"6,4",0,"304,32","7303,69",12,"870,108","14,511","1,3","3,4","178,8"
26/06/2025,"21,4","22,5","20,3",,,,"28,6",38,"17,2","50,2","89,8","16,6","1004,1","1005,1","1003,1","14,7","20,2","7,7",8,"67,7","2,2",6,30,"1,8",0,"6,6",0,"312,352","7496,454",12,"890,446","14,484","1,1","3,2",193
27/06/2025,"19,1","20,3","17,9",,,,"29,6","39,8","19,6","53,9","79,9","21,5","1004,4","1005,6",1003,"17,9","21,4","12,8",5,"31,3","3,7",5,"31,1","2,2",0,"6,1",0,"305,258","7326,201",12,"875,345","14,431","0,8","1,8","221,9"
28/06/2025,"28,8","48,1","17,1",,,,"28,7","39,2","20,2","55,4",90,"22,2","1004,4","1005,4","1003,3",17,"21,3","11,4",6,"39,5","2,3",4,"32,5","1,8",0,"5,7",0,"283,234","6797,614",12,"967,701","14,484","0,9","3,7",156
29/06/2025,"22,6","24,2","21,4",,,,"26,1",34,"17,3","52,7","88,8","30,4","1004,7","1005,7","1003,7","14,4","17,4","11,6",1,"38,2",2,0,"19,5","1,6",0,"6,7",0,"315,89","7581,365",12,"896,086","14,359","1,8","5,9","162,8"
30/06/2025,"20,3","21,4",19,,,,"27,6",37,"16,3","47,6","75,6","26,5",1004,"1005,3","1002,8","14,3","17,6","10,5",0,"25,3","2,8",0,"25,1","1,8",0,"6,7",0,"312,58","7501,93",12,"891,18","14,431","1,3","3,7","179,9"
01/07/2025,"17,9",19,"16,9",,,,"28,6","38,8","17,1","48,2","86,2","22,6","1003,1","1004,3",1002,"14,7","18,4","12,6",6,"89,7","1,7",6,"90,2","2,1",0,"6,4",0,"302,129","7251,096",12,"874,557","14,377","1,1","3,3","188,5"
02/07/2025,27,"48,4","16,5",,,,29,"39,4","17,8","49,5","83,5","23,6","1003,8","1005,1",1003,"15,8","18,7","11,7",6,"32,5","1,8",7,"32,4","2,5",0,"6,7",0,"305,554","7333,3",12,"874,781","14,332","1,2","3,9","176,1"
03/07/2025,"21,6","22,5","20,4",,,,"28,5","37,4","18,9","51,6",78,"28,5","1006,1","1007,3","1004,7","16,6","19,6",14,4,"30,9","1,9",4,"30,8","2,6",0,"5,5",0,"266,911","6405,858",12,"850,593","14,404","1,1","3,8","188,2"
04/07/2025,19,"20,4","17,5",,,,"29,2","39,4","18,5","47,5","86,1","16,1","1006,1","1007,7","1004,6","14,5","18,9","8,3",7,"33,8","1,5",8,"33,1",2,0,"6,6",0,"308,806","7411,338",12,"887,483","14,404","1,1","3,6","175,7"
05/07/2025,"16,6","17,5","15,7",,,,"29,2","40,4","18,2","45,9","76,9","13,6","1004,2","1005,8","1002,8","14,4","19,5","5,5",7,"35,5","1,6",7,"35,4","2,1",0,"6,7",0,"306,852","7364,44",12,"883,168","14,377","1,2","4,1","188,1"
06/07/2025,"15,1","15,7","14,5",,,,"29,4","39,3","19,5","46,7","70,9","15,8","1001,7","1003,8","999,4","15,2","20,1","7,6",8,"33,7","1,6",8,"33,7","2,2",0,"6,3",0,"303,411","7281,872",12,"884,046","14,413",1,"3,7","199,5"
07/07/2025,"30,2","48,6",14,,,,28,"37,4","17,1","51,4","79,2","23,6","998,7","999,9","997,5",16,"19,5","12,3",1,"28,2","2,1",1,"28,2","2,3",0,"5,5",0,"250,483","6011,601",12,"954,891","14,287","1,4","4,2","254,6"
08/07/2025,"22,9","25,4","21,3",,,,"26,2","33,1","19,9","63,5",90,"38,2","997,8","998,8","996,9","18,1","21,7","11,1",4,"89,7","1,8",2,"61,3","2,1",0,"3,7",0,"190,144","4563,457",9,"912,146","14,583","1,1","3,3","254,1"
09/07/2025,"20,2","21,3","18,7",,,,"26,9","32,4","17,1","49,6","70,1",28,"999,9","1004,6","996,9",15,"20,5","10,4",0,"23,7","1,6",0,"23,6","1,9",0,"5,8",0,"274,94","6598,556",12,"1016,66","14,493","1,7","4,8","182,5"
10/07/2025,"25,1","37,5","17,8",,,,23,"31,1","14,8","53,1","79,2","31,3","1003,4","1004,8",1002,"12,2","14,6","9,7",0,"40,6","1,8",0,"27,2",2,0,"5,2",0,"281,747","6761,935",11,"945,071","14,251","1,1","3,6",169
11/07/2025,"21,4","22,5",20,,,,"22,8","32,7","11,4","50,6","83,3","25,1","1002,6","1003,3","1001,8","10,8","14,1","6,9",2,"56,5","1,8",0,"23,6","1,9",0,"5,7",0,"299,156","7179,747",12,"941,625","14,072","1,2","3,8","156,7"
12/07/2025,"18,6",20,"17,2",,,,"24,1",34,"13,9","51,1","83,5","21,6",1004,"1005,3","1002,6","11,9","16,7","6,8",2,"61,6","1,4",0,"26,6","1,6",0,6,0,"307,458",7379,12,"903,051","14,09","1,2","3,8","170,2"
13/07/2025,"16,2","17,2","15,3",,,,"25,5",35,"14,6","51,2",84,"21,4",1006,"1007,2",1005,"13,4","18,5",8,3,"68,1","2,5",1,"27,1","2,1",0,"5,9",0,"297,712","7145,087",12,"921,689","14,198","1,2","4,3","156,1"
14/07/2025,"14,8","15,3","14,2",,,,"28,2","37,7","18,7","47,4","72,6","25,4","1004,6","1005,9","1003,3",15,"19,6",10,3,"30,9","2,3",3,"30,8","2,2",0,"6,2",0,"303,408","7281,789",12,"927,606","14,395",1,"3,1","192,6"
15/07/2025,"13,9","14,2","13,6",,,,"27,9","37,9","18,9","59,1","84,1","29,6","1002,2","1005,1","999,5","18,2","21,9","15,5",11,"89,7","4,2",4,"38,4","3,1",0,"5,1",0,"261,337","6272,099",11,"981,469","14,323","0,8","2,6","179,4"
16/07/2025,"26,7","45,5","13,3",,,,"28,4","38,4","19,1","58,6",90,"16,3","999,3","1000,9","997,8","17,7","21,2","7,2",12,"89,7","2,9",10,"90,2","2,9",0,"5,7",0,"285,906","6861,743",12,"880,393","14,422","0,9","3,5","206,3"
17/07/2025,"23,6","26,9","21,1",58,"69,4",36,"28,4","36,7","20,9","61,1","86,4","34,8","997,9","999,4","996,6","19,2","21,9","17,6",13,"89,7","2,7",8,"48,7","2,6",0,"5,8",0,"299,521","7188,494",12,"886,964","14,574","0,8","3,2","188,8"
18/07/2025,34,"41,3","20,5",,,,"26,6","33,7","18,3","57,4",89,"30,2","1001,1","1002,4","999,3","16,3","19,8","11,6",7,"89,8","1,6",5,"80,3","1,9",0,"5,2",0,"264,874","6356,98",12,"845,051","14,377","1,1",3,"153,1"
19/07/2025,"23,6",25,"22,2",,,,"26,8",36,"16,5","52,7","78,7","33,3","1001,8","1003,3","1000,6","15,6","20,2","11,7",2,"29,2","1,8",2,"29,1",2,0,6,0,"293,207","7036,959",12,"851,64","14,511","1,2","3,8","146,7"
20/07/2025,"20,8","22,2",19,,,,"27,9","38,3","17,3","48,9","77,8","21,4","999,6",1001,"998,2","14,9","20,5","10,4",4,"32,1","1,6",4,"32,1","1,8",0,6,0,"288,36","6920,644",12,"950,129","14,413","1,1","3,6","134,9"
21/07/2025,"28,3","48,7","17,7",,,,"30,1","40,5","19,6",42,61,"21,2","998,5","999,3","997,6","14,8","19,4","7,7",6,"33,2","1,6",6,"33,1","1,8",0,"6,3",0,"291,29","6990,962",12,"848,668","14,439",1,"3,1","206,1"
22/07/2025,"24,2","28,4","22,2",,,,"29,2","36,9","18,1","47,5","83,3",26,"999,5","1001,2","997,7","16,2","22,7","8,7",2,"89,7","1,7",0,"41,8",2,0,"6,2",0,"294,726","7073,423",12,"843,1","14,475","1,2","3,7","242,2"
23/07/2025,"20,6","22,1","18,7","68,1","69,7","66,4","26,9","37,9","16,7","53,6","80,3","15,6","1000,5","1002,1","998,8","15,5","19,3","6,8",6,"65,5","2,9",4,"30,7","2,1",0,"6,1",0,"305,008","7320,197",12,"877,735","14,359","1,1","3,8",215
24/07/2025,"31,1","47,9","17,7",,,,"27,6","38,1","16,6","46,5","82,4","13,1","1000,6","1001,4","999,1","13,1","18,8","3,9",8,"57,8","1,8",7,"34,1","1,8",0,"6,1",0,"286,592","6878,198",12,"835,482","14,171","1,1","3,3","168,7"
25/07/2025,"26,5",31,"23,8","29,6","33,5","28,4",30,"40,1","19,1","40,8",63,19,1001,"1002,3","999,7","13,6","19,8","10,8",7,"34,2",2,7,"34,1","1,8",0,"6,2",0,"278,638","6687,306",12,"841,551","14,556",1,3,"175,6"
26/07/2025,"21,9","23,9","19,6","49,4","69,8","28,4","28,5","36,8","20,7","53,4","62,5",34,"998,6",1000,"997,2","17,8","23,3","11,4",0,"27,8",2,0,"27,5","1,8",0,"2,6",0,"129,923","3118,146",12,"803,658","14,502","0,8","2,2",201
27/07/2025,"18,5","19,6","17,3","28,9",36,"25,6",26,"33,2","17,4","55,7","87,6","31,2","997,6","998,7","996,6","15,5","18,2",13,6,"89,7","2,7",2,"64,2",2,0,"5,4",0,"273,52","6564,491",11,"956,968","14,269","1,2","4,2","248,5"
28/07/2025,40,61,"16,9","29,4","64,6","26,2","24,3","32,7","16,5",64,90,"32,7","994,9","997,5","992,8","16,2",20,"12,8",10,"89,7","2,3",9,"90,3","2,2",0,"4,3",0,"222,572","5341,722",12,"834,622","14,278","1,1","4,3","233,4"
29/07/2025,"30,2",37,"27,9",,,,"24,6","31,5","17,5","63,7",90,"36,1","995,9","1000,3","992,7","16,7",19,"13,9",8,"89,9","2,5",5,"90,3","2,6",0,4,0,"223,849","5372,371",11,"943,182","14,413","0,9",3,224
30/07/2025,"26,7","28,2","24,6",,,,"24,6","32,2","15,5","60,6",90,"36,1","1001,4","1002,6","1000,2","15,6",18,"13,6",7,"89,7",2,7,"90,2","2,3",0,"4,7",0,"249,064","5977,542",11,"941,249","14,234",1,"3,5","131,7"
Media,"23,2","28,9","19,6","43,9","57,2","35,2","26,3","35,5","16,6","55,6","84,2","28,1","1003,4","1004,9",1002,"15,3","19,4","10,8","17,4","59,2","2,1","14,8","48,6","2,1",,,,"280,72",,,"886,263","14,369","1,1","3,6","189,2"
Cumulato,,,,,,,,,,,,,,,,,,,,276,,232,,,1,"336,4",,"404237,1",704,,,,,,
